baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
dnaA	66.1064664715081	0.105378790987435	0.38849118327618	0.271251435100191	0.786197655777064	0.901217966863209
dnaN	94.4555845092348	0.158010264894915	0.321483352128937	0.491503724371838	0.623070218587759	0.811270313938314
recF	19.3550705564088	0.162742303489576	0.687328807036896	0.236775036668644	0.812831318785916	0.912869768991492
gyrB	259.518062609082	0.802819600161231	0.215030253385553	3.73351929563958	0.000188822720684598	0.00219661016551864
PSPPH_0005	130.871779596315	-0.366586290228574	0.275597888087081	-1.33014912695101	0.18346914191011	0.42390441808199
PSPPH_0007	0	NA	NA	NA	NA	NA
PSPPH_0008	0.506375477833995	1.46447828452205	4.03155978317642	0.363253520543904	0.716415510501288	NA
plsC	66.7569596230095	-1.07441355735713	0.370610164834356	-2.89903963599416	0.00374307573059964	0.0262409309113617
PSPPH_0010	21.6192913858955	0.250897235573308	0.664207165209072	0.377739429375672	0.705624173773489	0.863883663835098
glyS	167.314129539038	1.56364970666075	0.271133889717631	5.76707584687843	0.00000000806587581830047	0.000000302640749013415
glyQ	123.566082686388	0.984434195606252	0.308994915419481	3.18592360741541	0.00144292692453101	0.0120879161224862
tag	6.25078664710735	0.587400685154614	1.22496534697348	0.479524328264389	0.631565665185581	NA
PSPPH_0014	49.806429374114	0.567546364870422	0.449458001289154	1.26273503473642	0.206684418781017	0.455360855643857
PSPPH_0015	6.69306729800388	1.20170882468413	1.24214169048405	0.967449071140858	0.333319589196384	NA
PSPPH_0016	0	NA	NA	NA	NA	NA
PSPPH_0017	2.34391588831172	-0.582145130884696	1.96622135201311	-0.296073038922433	0.767174303240388	NA
trkA	45.4419027989863	1.6071925887954	0.517825376202576	3.10373470026055	0.00191094601235578	0.0151510719551065
sun	47.4400262108941	2.66240970901907	0.570253375604691	4.66881884950857	0.00000302936340574829	0.0000600307698627255
fmt	61.664206418974	1.34776855098415	0.421210815142356	3.19974820810014	0.00137547694782172	0.0116326050444351
def1	67.0233692821068	0.603433314532414	0.385084729123411	1.56701439682129	0.117111326505891	0.32720642549002
PSPPH_0022	100.329960317769	0.559933032523325	0.340774279052074	1.64311999743902	0.100358108142612	0.295745575322918
smf	12.1458181061607	1.28491407890102	0.942773002525259	1.36290928511881	0.172911102052166	NA
PSPPH_0024	25.3117379565991	0.260274675757571	0.608781285957436	0.427533962953928	0.668990453235131	0.840655928027542
qor1	68.4413866208246	0.756954019679439	0.395116130582623	1.91577604934343	0.0553936075726466	0.199416987261528
hemF	38.1425088865665	0.689976617714536	0.518968319002168	1.32951587303281	0.183677832536227	0.424018843913787
aroE	19.9620938392511	1.0627048607776	0.725847007911728	1.46408933176569	0.143169541775838	0.370294814845468
PSPPH_0028	11.4849966629745	-0.0835581697938255	0.907796567840904	-0.0920450382320342	0.92666225611395	NA
PSPPH_0029	8.12189484257951	0.59830400263631	1.08854021118677	0.549638861741282	0.58256709846608	NA
betC	13.3757301299508	0.679363310824529	0.863262876272544	0.786971534971978	0.431298529508046	NA
PSPPH_0031	10.4811755841282	-0.387514094052334	0.92454976805545	-0.419138165885184	0.675115159243308	NA
PSPPH_0032	5.6788417531007	-0.339162516524787	1.24163846537134	-0.273157224090472	0.784732360172946	NA
PSPPH_0033	77.7293726757106	1.73681202044002	0.400718380378298	4.33424595797273	0.0000146260578219629	0.000234721795407886
PSPPH_0034	21.545962819115	-0.823584100323099	0.674655686684215	-1.22074728869601	0.222181717099126	0.4716271668144
trpA	23.3911998185136	1.3865138208088	0.688687515257548	2.0132698649115	0.0440862468179788	0.168260403328217
trpB	53.9919952653892	1.18525490534314	0.467506404107429	2.53526988064697	0.0112360724386793	0.0609631302986593
trpI	5.39228559323371	-0.468185294529476	1.30696472198151	-0.358223360321197	0.720176166673647	NA
PSPPH_0038	20.4318640895258	-0.297295422282558	0.680442702722423	-0.436914704343351	0.662173207577743	0.836440181721139
PSPPH_0039	6.87126545125654	-0.376749020069144	1.16053395411397	-0.32463420715405	0.745457934678612	NA
PSPPH_0040	17.3869408674561	-0.737532063818468	0.724421107828355	-1.0180985283952	0.308631134634003	0.571364379892275
PSPPH_0041	56.9195254267568	2.5106203704878	0.517519102245666	4.85126125701156	0.00000122678820181777	0.0000284188153881961
osmC	27.3537431440054	-1.06902708910366	0.57627650426982	-1.85505930084412	0.0635877588284266	0.219454575137791
PSPPH_0043	3.7060981555684	-1.62192573527413	1.52757538110744	-1.06176477791772	0.288342483454535	NA
PSPPH_0044	3.75100245369661	-1.53136814708729	1.52503576288164	-1.00415228571013	0.315305216620145	NA
PSPPH_0046	6.07876855625051	0.978586476341383	1.28169844242848	0.763507580213034	0.445160743378494	NA
PSPPH_0048	22.0636354949902	-0.32543106164711	0.641813677365365	-0.507049122080103	0.612120352329314	0.804880858146739
PSPPH_0049	0.31360070435169	0.752662925622292	4.87294944451459	0.154457363900944	0.877249126410903	NA
PSPPH_0050	20.3232964066685	1.01017054697775	0.724712811554006	1.39389083630471	0.163350571915939	0.401109104958698
prlC	209.229621215919	0.892462419008525	0.234226815043106	3.81024870634168	0.00013882706161601	0.00169649216580299
PSPPH_0052	16.6220670736991	0.868181629009547	0.778013281946898	1.11589563977239	0.264466808420563	0.523432078478736
PSPPH_0053	12.6645570092729	-1.20842559861873	0.85481772179681	-1.41366465365113	0.157460388206232	NA
PSPPH_0054	30.7319445914194	-0.0859543549224123	0.546713272152063	-0.157220172438954	0.875071330697145	0.943809072778975
PSPPH_0055	52.9585605009812	-0.334376310701511	0.423827291900854	-0.788944735488463	0.430144307620461	0.679388856467281
PSPPH_0056	8.71581939491393	0.594273096254109	1.05245106407601	0.564656273853307	0.572307581116567	NA
PSPPH_0057	73.4239879859868	1.00654713813302	0.37749386555235	2.66639336419477	0.00766699250785876	0.0453885956465238
PSPPH_0058	5.44631913222814	0.320660548237007	1.31060509989693	0.24466603118073	0.806715031929689	NA
algR3	278.101965587191	0.67849856276264	0.213746631186106	3.1743123107839	0.00150191990574121	0.0123873517922433
PSPPH_0060	44.6348694435166	-0.474856043932248	0.451324242666359	-1.05213945771418	0.292735571282101	0.555446981407064
algQ	44.7901036418762	-0.552552870229201	0.455580937791186	-1.21285335797448	0.225185890882458	0.475352783923033
PSPPH_0062	1.9906589011508	-0.158874511305412	2.08551558714525	-0.0761799682940211	0.9392759193572	NA
PSPPH_0063	8.24130173418868	-0.544169353829359	1.0406346964666	-0.522920632645677	0.601029485773954	NA
PSPPH_0064	53.3737862951945	0.490509461262449	0.432368310674147	1.13447135035787	0.256596884714437	0.514478230222531
PSPPH_0065	68.5045041629088	0.304178429599438	0.388333595524013	0.783291564534825	0.433455915660865	0.68005097722058
hemD	27.2334332082134	0.76048146591474	0.613129557814871	1.24032752331337	0.2148542762057	0.464587493353884
hemC	42.8688585231659	1.37184962723383	0.503432368386375	2.72499289553221	0.00643028707038139	0.0401177628934333
PSPPH_0068	2.6498619410324	0.507348897878572	1.88652087367009	0.268933625362735	0.787980760575236	NA
algR	78.1605504145999	-0.0415968161389015	0.361750418919863	-0.11498761014045	0.908454942575629	0.955947737640707
fimS	24.0006955998415	-0.0648545944746667	0.617074999591087	-0.105100019475175	0.916296443851668	0.95951797422203
argH	192.622064900276	1.22479724557301	0.248271253652491	4.93330269837595	0.000000808507085770128	0.0000205129797761107
PSPPH_0072	28.9054530659365	-0.701705018050915	0.555876826067867	-1.26233903833444	0.206826815063463	0.455360855643857
PSPPH_0073	11.2692939492052	0.547476813009219	0.916554579702659	0.597320470742535	0.550293439782759	NA
PSPPH_0074	8.27869519475535	0.639922710017399	1.08016206868856	0.592432125296102	0.553561259439182	NA
PSPPH_0075	18.7796431649438	0.23087798527348	0.738738425443588	0.312530088217416	0.754637700297809	0.885356046639013
PSPPH_0076	36.0974405541878	-0.12610978835259	0.520984222438528	-0.24206066694749	0.808733155204525	0.912443044957094
PSPPH_0077	6.91268725192644	0.559862897748657	1.15884469464718	0.483121595443048	0.629009401290733	NA
PSPPH_0078	35.4866346220913	-1.66050932640288	0.505394326163582	-3.28557176137633	0.00101775613653097	0.00902698074387706
PSPPH_0079	28.7713676773182	0.758232276859967	0.590953970959939	1.28306486481223	0.199469351936333	0.444302971202667
rep	30.3979859325311	0.103737164611402	0.562295593666418	0.184488667135001	0.85363011688524	0.931761056884077
xpt	17.7217885471031	-0.186100230944256	0.737525940253117	-0.252330420921042	0.800785676210218	0.909372691961445
PSPPH_0082	19.6010906358781	1.41861330386438	0.737332131054421	1.92398139741407	0.0543569152648783	0.195949691834419
PSPPH_0083	217.196889565768	-1.76678589275486	0.237255233809014	-7.44677309912197	9.5650917889728e-14	8.78669121580122e-12
PSPPH_0084	131.4438366793	-0.991329649246031	0.274900034311505	-3.60614596403687	0.000310778369942533	0.00328537133939249
PSPPH_0085	33.1409951532088	-0.294492148463934	0.53493601321705	-0.550518456764368	0.581963821165267	0.787780294504203
PSPPH_0086	14.8342442339737	0.567193908659007	0.800922034826369	0.708176181945061	0.478835855223444	0.711047223141168
cysW	9.11644286649007	-0.431512140187509	0.992476582784587	-0.434783195566002	0.663719803622111	NA
cysT	12.259669818943	-0.60451656537488	0.861517607076019	-0.701687998492105	0.482873759165831	NA
sbp	15.5047870874756	-0.516289179911141	0.769572409655538	-0.670877975137171	0.502298268280419	0.729352103755263
PSPPH_0090	5.13492570014402	-1.50627401894456	1.32582845258859	-1.13610023680188	0.255914615952096	NA
PSPPH_0091	59.7876515224277	-0.131591370219873	0.443183053782725	-0.29692328959037	0.766525075056056	0.889409301812278
PSPPH_0092	165.497276638319	0.0883752037127896	0.258026415646652	0.34250448153267	0.731971271946878	0.875031877506182
PSPPH_0093	54.9990620962582	-1.67376654466114	0.455553439748637	-3.67413874777168	0.000238653030764002	0.00266013252700963
PSPPH_0094	46.0775110777221	1.0718082824014	0.477204900418105	2.24601273260674	0.0247031923601819	0.110049004092851
gabT1	225.586582180316	0.881589056430086	0.225275549312134	3.91338100882217	0.0000910127586338239	0.00117129463285269
gabD1	252.181469776691	1.35896534705185	0.219754629959955	6.18401235641537	0.00000000062492472905646	0.0000000277466579701068
PSPPH_0097	35.2343027558791	0.573160952026944	0.536464567673739	1.06840411569459	0.285338261309492	0.546474532959354
PSPPH_0099	6.76997322731031	1.02921086609738	1.26337085340398	0.814654591186995	0.415270052560303	NA
PSPPH_0100	13.6373214384136	0.0690008827545061	0.873658716753753	0.0789792185796441	0.937049152591861	NA
PSPPH_0101	4.63949723052534	4.67955797817421	1.97789477021093	2.36592868774064	0.0179849082731985	NA
PSPPH_0102	6.53376874493498	2.50749836966413	1.47884758241587	1.69557593323298	0.0899662187395576	NA
PSPPH_0103	6.73159216969183	1.73901924130035	1.3114105895667	1.32606771299211	0.184817269523742	NA
