Gene	WT-1	WT-2	rhpS-1	rhpS-2
dnaA	118	160	41	25
dnaN	165	251	71	28
recF	34	51	14	6
gyrB	533	833	127	72
PSPPH_0005	193	277	104	53
PSPPH_0007	0	0	0	0
PSPPH_0008	2	2	0	0
plsC	67	113	65	32
PSPPH_0010	33	70	18	5
glyS	399	657	71	24
glyQ	295	380	71	23
tag	11	22	5	1
PSPPH_0014	108	134	31	13
PSPPH_0015	13	26	2	2
PSPPH_0016	0	0	0	0
PSPPH_0017	4	4	4	0
trkA	130	149	21	5
sun	135	198	6	7
fmt	145	221	24	13
def1	134	200	38	19
PSPPH_0022	230	250	65	25
smf	19	59	6	2
PSPPH_0024	44	70	15	9
qor1	152	195	33	20
hemF	84	112	27	7
aroE	52	58	12	3
PSPPH_0028	12	37	7	5
PSPPH_0029	15	28	7	1
betC	24	44	5	5
PSPPH_0031	11	29	9	4
PSPPH_0032	10	10	5	2
PSPPH_0033	220	263	27	12
PSPPH_0034	31	29	15	12
trpA	58	78	7	6
trpB	135	163	18	15
trpI	4	16	3	3
PSPPH_0038	37	35	16	8
PSPPH_0039	12	13	9	1
PSPPH_0040	23	32	21	5
PSPPH_0041	167	222	8	9
osmC	27	49	33	10
PSPPH_0043	2	6	4	2
PSPPH_0044	4	4	6	1
PSPPH_0046	14	18	2	2
PSPPH_0048	28	57	21	7
PSPPH_0049	2	0	0	0
PSPPH_0050	56	51	11	4
prlC	461	659	107	51
PSPPH_0052	38	48	7	5
PSPPH_0053	14	16	9	8
PSPPH_0054	52	71	25	10
PSPPH_0055	83	111	50	17
PSPPH_0056	20	21	4	3
PSPPH_0057	153	257	34	18
PSPPH_0058	6	21	3	2
algR3	581	819	142	82
PSPPH_0060	59	99	42	16
algQ	55	101	46	15
PSPPH_0062	4	3	1	1
PSPPH_0063	8	21	6	4
PSPPH_0064	112	143	35	14
PSPPH_0065	141	166	49	19
hemD	64	72	13	8
hemC	107	147	18	8
PSPPH_0068	5	9	3	0
algR	139	171	53	30
fimS	40	56	17	9
argH	457	653	83	41
PSPPH_0072	36	55	25	13
PSPPH_0073	25	29	7	3
PSPPH_0074	16	28	7	1
PSPPH_0075	31	51	7	9
PSPPH_0076	47	99	22	16
PSPPH_0077	12	23	4	2
PSPPH_0078	27	45	43	17
PSPPH_0079	59	95	20	5
rep	41	95	20	11
xpt	28	38	9	9
PSPPH_0082	45	76	9	3
PSPPH_0083	186	213	256	111
PSPPH_0084	154	207	131	59
PSPPH_0085	45	84	34	9
PSPPH_0086	32	40	9	4
cysW	9	25	7	4
cysT	20	19	13	4
sbp	22	29	10	8
PSPPH_0090	4	8	9	1
PSPPH_0091	110	112	33	28
PSPPH_0092	298	408	134	47
PSPPH_0093	39	76	87	17
PSPPH_0094	110	147	24	9
gabT1	492	718	120	53
gabD1	594	914	104	49
PSPPH_0097	80	91	24	8
PSPPH_0099	12	30	6	0
PSPPH_0100	12	54	13	3
PSPPH_0101	5	40	0	0
PSPPH_0102	9	42	1	1
PSPPH_0103	16	30	4	0
PSPPH_0104	300	453	127	49
PSPPH_0105	84	126	39	13
PSPPH_0106	44	110	12	12
PSPPH_0107	214	318	56	26
PSPPH_0108	124	187	34	14
PSPPH_0109	10	13	4	2
PSPPH_0110	18	21	7	7
PSPPH_0111	7	9	7	2
PSPPH_0112	15	41	11	1
PSPPH_0113	2	3	1	1
PSPPH_0114	0	0	0	0
PSPPH_0115	10	42	1	1
PSPPH_0116	25	75	6	4
PSPPH_0117	71	168	9	9
PSPPH_0118	6	17	0	0
PSPPH_0119	2	2	1	0
PSPPH_0121	103	120	18	6
PSPPH_0122	928	1266	219	87
PSPPH_0123	82	124	18	8
PSPPH_0124	50	43	7	1
PSPPH_0125	198	295	23	19
PSPPH_0126	36	68	6	0
PSPPH_0127	124	149	13	14
PSPPH_0128	34	52	10	1
clpB1	199	313	32	11
PSPPH_0130	17	26	7	8
PSPPH_0131	80	153	17	13
PSPPH_0132	43	99	6	4
PSPPH_0133	568	910	148	46
PSPPH_0134	197	331	48	16
PSPPH_0135	83	117	33	14
PSPPH_0136	12	17	4	0
PSPPH_0138	105	135	5	16
PSPPH_0139	178	341	66	24
fdhD	31	26	12	4
PSPPH_0141	85	113	15	5
PSPPH_0142	50	55	10	7
PSPPH_0143	39	57	15	2
cysQ	39	85	14	8
PSPPH_0145	25	40	8	2
PSPPH_0146	70	103	18	9
PSPPH_0147	60	62	25	15
PSPPH_0148	0	2	0	0
rfbC	88	97	19	7
rfbB1	169	214	47	22
PSPPH_0152	137	204	25	12
