seqnames	start	end	width	strand	peak	feature	start_position	end_position	feature_strand	insideFeature	distancetoFeature	shortestDistance	fromOverlappingOrNearest	id
chromosome	3248	3453	206	*	GacA-1_peak_1	0003	2938	4041	+	inside	310	310	NearestLocation	PSPPH_0003
chromosome	47539	47695	157	*	GacA-1_peak_2	5596	47286	47579	-	overlapStart	40	40	NearestLocation	PSPPH_0045
chromosome	47539	47695	157	*	GacA-1_peak_2	5597	47286	47579	-	overlapStart	40	40	NearestLocation	PSPPH_0045
chromosome	83043	83279	237	*	GacA-1_peak_3	5572	82147	83067	-	overlapStart	24	24	NearestLocation	PSPPH_0077
chromosome	106043	106330	288	*	GacA-1_peak_4	5562	104710	105990	-	upstream	-53	53	NearestLocation	PSPPH_0095
chromosome	111257	115100	3844	*	GacA-1_peak_5	0043	113614	114579	+	includeFeature	-2357	521	NearestLocation	PSPPH_0102
chromosome	115911	116982	1072	*	GacA-1_peak_6	0044	116302	116691	+	includeFeature	-391	291	NearestLocation	PSPPH_0103
chromosome	121934	123251	1318	*	GacA-1_peak_7	5557	121882	123228	-	overlapStart	1294	23	NearestLocation	PSPPH_0106
chromosome	132290	132924	635	*	GacA-1_peak_8	5554	132507	133010	-	overlapEnd	720	86	NearestLocation	PSPPH_0115
chromosome	133303	134845	1543	*	GacA-1_peak_9	5553	133108	134130	-	overlapStart	827	195	NearestLocation	PSPPH_0116
chromosome	135165	136848	1684	*	GacA-1_peak_10	5551	136114	136368	-	includeFeature	1203	480	NearestLocation	PSPPH_0118
chromosome	137923	138488	566	*	GacA-1_peak_11	5550	136714	137973	-	overlapStart	50	50	NearestLocation	PSPPH_0119
chromosome	189081	191462	2382	*	GacA-1_peak_12	0067	189206	189700	+	includeFeature	-125	125	NearestLocation	PSPPH_0164
chromosome	194570	195619	1050	*	GacA-1_peak_13	5516	195441	196412	-	overlapEnd	1842	178	NearestLocation	PSPPH_0169
chromosome	197432	198079	648	*	GacA-1_peak_14	0071	196550	197653	+	overlapEnd	882	221	NearestLocation	PSPPH_0170
chromosome	204316	206421	2106	*	GacA-1_peak_15	5515	198685	204564	-	overlapStart	248	248	NearestLocation	PSPPH_0171
chromosome	209277	209677	401	*	GacA-1_peak_16	0075	209602	210705	+	overlapStart	-325	75	NearestLocation	PSPPH_0176
chromosome	210576	211018	443	*	GacA-1_peak_17	0076	210746	211510	+	overlapStart	-170	170	NearestLocation	PSPPH_0177
chromosome	211197	211771	575	*	GacA-1_peak_18	0077	211856	212719	+	upstream	-659	85	NearestLocation	PSPPH_0178
chromosome	213554	214053	500	*	GacA-1_peak_19	0079	214090	216300	+	upstream	-536	37	NearestLocation	PSPPH_0180
chromosome	216093	216282	190	*	GacA-1_peak_20	0080	216810	218234	+	upstream	-717	528	NearestLocation	PSPPH_0181
chromosome	219571	219722	152	*	GacA-1_peak_21	5511	220514	221149	-	downstream	1578	792	NearestLocation	PSPPH_0182
chromosome	250571	250943	373	*	GacA-1_peak_22	0090	250781	250936	+	includeFeature	-210	7	NearestLocation	PSPPH_0213
chromosome	261881	262080	200	*	GacA-1_peak_23	0096	262056	262409	+	overlapStart	-175	24	NearestLocation	PSPPH_0224
chromosome	297819	298006	188	*	GacA-1_peak_24	5468	297092	297967	-	overlapStart	148	39	NearestLocation	PSPPH_0256
chromosome	338838	339973	1136	*	GacA-1_peak_25	5450	338360	339097	-	overlapStart	259	259	NearestLocation	PSPPH_0295
chromosome	340596	341661	1066	*	GacA-1_peak_26	5447	339414	341467	-	overlapStart	871	194	NearestLocation	PSPPH_0297
chromosome	340596	341661	1066	*	GacA-1_peak_26	5448	339414	341467	-	overlapStart	871	194	NearestLocation	PSPPH_0297
chromosome	344630	344767	138	*	GacA-1_peak_27	5444	343961	344572	-	upstream	-58	58	NearestLocation	PSPPH_0302
chromosome	358726	360405	1680	*	GacA-1_peak_28	5438	358747	359364	-	includeFeature	638	21	NearestLocation	PSPPH_0316
chromosome	371034	371687	654	*	GacA-1_peak_29	0152	371787	372905	+	upstream	-753	100	NearestLocation	PSPPH_0327
chromosome	385370	385641	272	*	GacA-1_peak_30	5427	383837	385159	-	upstream	-211	211	NearestLocation	PSPPH_0337
chromosome	386245	386641	397	*	GacA-1_peak_31	5426	385544	386272	-	overlapStart	27	27	NearestLocation	PSPPH_0338
chromosome	513675	513853	179	*	GacA-1_peak_32	5358	512790	513665	-	upstream	-10	10	NearestLocation	PSPPH_0450
chromosome	534550	535458	909	*	GacA-1_peak_33	0202	534094	534498	+	downstream	456	52	NearestLocation	PSPPH_0471
chromosome	571473	571611	139	*	GacA-1_peak_34	5329	569608	571620	-	inside	147	9	NearestLocation	PSPPH_0495
chromosome	572370	572569	200	*	GacA-1_peak_35	5329	569608	571620	-	upstream	-750	750	NearestLocation	PSPPH_0495
chromosome	577658	578129	472	*	GacA-1_peak_36	5327	577625	578296	-	inside	638	33	NearestLocation	PSPPH_0498
chromosome	596184	596364	181	*	GacA-1_peak_37	0221	596351	597385	+	overlapStart	-167	13	NearestLocation	PSPPH_0510
chromosome	642290	642458	169	*	GacA-1_peak_38	0250	642501	643199	+	upstream	-211	43	NearestLocation	PSPPH_0548
chromosome	664213	664519	307	*	GacA-1_peak_39	0261	664404	664664	+	overlapStart	-191	115	NearestLocation	PSPPH_0565
chromosome	673169	673731	563	*	GacA-1_peak_40	5304	673159	673245	-	overlapStart	76	10	NearestLocation	PSPPH_0572
chromosome	702760	704011	1252	*	GacA-1_peak_41	5298	703194	704162	-	overlapEnd	1402	151	NearestLocation	PSPPH_0595
chromosome	704253	705630	1378	*	GacA-1_peak_42	5297	704165	704878	-	overlapStart	625	88	NearestLocation	PSPPH_0596
chromosome	715300	715902	603	*	GacA-1_peak_43	0286	715284	715979	+	inside	16	16	NearestLocation	PSPPH_0605
chromosome	716915	717049	135	*	GacA-1_peak_44	0288	717658	717912	+	upstream	-743	609	NearestLocation	PSPPH_0607
chromosome	717904	725797	7894	*	GacA-1_peak_45	0289	718229	718882	+	includeFeature	-325	325	NearestLocation	PSPPH_0608
chromosome	729316	730457	1142	*	GacA-1_peak_46	5288	730044	730181	-	includeFeature	865	276	NearestLocation	PSPPH_0616
chromosome	744290	744778	489	*	GacA-1_peak_47	5279	743123	744394	-	overlapStart	104	104	NearestLocation	PSPPH_0628
chromosome	744947	745659	713	*	GacA-1_peak_48	5279	743123	744394	-	upstream	-553	553	NearestLocation	PSPPH_0628
chromosome	784094	784913	820	*	GacA-1_peak_49	5265	784730	784930	-	overlapEnd	836	17	NearestLocation	PSPPH_0668
chromosome	788282	788524	243	*	GacA-1_peak_50	0329	788757	789356	+	upstream	-475	233	NearestLocation	PSPPH_0672
chromosome	803743	807650	3908	*	GacA-1_peak_51	0338	804015	805532	+	includeFeature	-272	272	NearestLocation	PSPPH_0689
chromosome	808104	808302	199	*	GacA-1_peak_52	0342	809136	809255	+	upstream	-1032	834	NearestLocation	PSPPH_0693
chromosome	808567	809215	649	*	GacA-1_peak_53	0342	809136	809255	+	overlapStart	-569	40	NearestLocation	PSPPH_0693
chromosome	819739	820045	307	*	GacA-1_peak_54	0346	818824	819228	+	downstream	915	511	NearestLocation	PSPPH_0697
chromosome	840588	840846	259	*	GacA-1_peak_55	0358	840271	840741	+	overlapEnd	317	105	NearestLocation	PSPPH_0717
chromosome	851617	852178	562	*	GacA-1_peak_56	0369	851710	854910	+	overlapStart	-93	93	NearestLocation	PSPPH_0730
chromosome	853321	854027	707	*	GacA-1_peak_57	0370	854922	855326	+	upstream	-1601	895	NearestLocation	PSPPH_0731
chromosome	870547	871489	943	*	GacA-1_peak_58	0378	871234	871310	+	includeFeature	-687	179	NearestLocation	PSPPH_0746
chromosome	875828	878072	2245	*	GacA-1_peak_59	5234	874874	875842	-	overlapStart	14	14	NearestLocation	PSPPH_0750
chromosome	879573	881665	2093	*	GacA-1_peak_60	5231	879828	881366	-	includeFeature	1793	255	NearestLocation	PSPPH_0753
chromosome	882018	882326	309	*	GacA-1_peak_61	0381	882507	883145	+	upstream	-489	181	NearestLocation	PSPPH_0755
chromosome	882626	883091	466	*	GacA-1_peak_62	0381	882507	883145	+	inside	119	54	NearestLocation	PSPPH_0755
chromosome	883444	884011	568	*	GacA-1_peak_63	0382	884445	887003	+	upstream	-1001	434	NearestLocation	PSPPH_0756
chromosome	893414	894385	972	*	GacA-1_peak_64	5226	892801	894042	-	overlapStart	628	343	NearestLocation	PSPPH_0763
chromosome	894567	895464	898	*	GacA-1_peak_65	5225	894853	895116	-	includeFeature	549	286	NearestLocation	PSPPH_5225
chromosome	895717	895899	183	*	GacA-1_peak_66	0385	895983	896399	+	upstream	-266	84	NearestLocation	PSPPH_0764
chromosome	897225	899133	1909	*	GacA-1_peak_67	5222	897416	898963	-	includeFeature	1738	170	NearestLocation	PSPPH_0767
chromosome	901751	911122	9372	*	GacA-1_peak_68	0388	911077	912180	+	overlapStart	-9326	45	NearestLocation	PSPPH_0776
chromosome	912088	915872	3785	*	GacA-1_peak_69	5213	912099	913832	-	includeFeature	1744	11	NearestLocation	PSPPH_0777
chromosome	923055	924498	1444	*	GacA-1_peak_70	0392	924517	925533	+	upstream	-1462	19	NearestLocation	PSPPH_0782
chromosome	927243	928820	1578	*	GacA-1_peak_71	5209	927577	928548	-	includeFeature	1305	272	NearestLocation	PSPPH_0784
